Decimal Code,"Circle Centers (x, y)"
76,"(150.5, 2.0)","(192.5, 1.5)","(235.0, 1.5)","(277.0, 2.0)","(319.0, 1.5)","(361.5, 1.5)","(403.5, 1.5)","(445.5, 2.0)","(488.0, 1.0)","(530.0, 0.6000000238418579)","(572.0, 1.5)","(610.5, 6.0)","(657.0, 3.0)","(699.0, 2.142857074737549)","(741.5, 1.9166666269302368)","(783.5, 3.5)","(825.0, 2.8125)","(867.0, 2.8125)","(909.0, 2.8125)","(951.0, 2.875)","(993.0, 3.444444417953491)","(1039.0, 6.5)","(1077.0, 4.0)","(1119.5, 4.0)","(1157.5, 6.5)","(1203.3883056640625, 4.088832378387451)","(1245.399169921875, 4.161290168762207)","(1287.5, 4.5)","(1329.5, 4.681818008422852)","(1371.5, 5.0)"
203,"(150.70628356933594, 39.1591911315918)","(192.83871459960938, 39.600807189941406)","(234.8103485107422, 39.81034469604492)","(277.38525390625, 40.459014892578125)","(319.5, 40.5)","(361.5, 40.80769348144531)","(403.4479675292969, 41.03179168701172)","(445.5766296386719, 41.28544235229492)","(487.69000244140625, 41.59000015258789)","(530.0, 41.875)","(572.6090698242188, 42.681819915771484)","(614.625, 43.0)","(657.3305053710938, 43.6779670715332)","(699.0999755859375, 43.70000076293945)","(741.5, 44.07143020629883)","(783.623779296875, 44.28217697143555)","(825.0, 44.0)","(867.0, 44.625)","(909.261474609375, 44.63761520385742)","(951.4354858398438, 45.155914306640625)","(993.222412109375, 44.859432220458984)","(1035.441162109375, 45.44117736816406)","(1077.31005859375, 45.40999984741211)","(1119.56640625, 45.57053756713867)","(1161.7291259765625, 45.751102447509766)","(1203.7083740234375, 46.0)","(1245.5474853515625, 46.14426803588867)","(1287.669921875, 46.13706588745117)","(1329.8824462890625, 46.74302673339844)","(1372.0208740234375, 47.05208206176758)"
202,"(150.77499389648438, 81.0)","(193.0, 81.2727279663086)","(235.2894744873047, 81.71052551269531)","(277.593017578125, 82.22093200683594)","(319.8999938964844, 82.5)","(361.72222900390625, 82.72222137451172)","(403.593017578125, 83.22093200683594)","(445.7049255371094, 83.2786865234375)","(487.7109680175781, 83.70252990722656)","(530.4525756835938, 84.14427185058594)","(572.8103637695312, 84.81034851074219)","(615.1875, 85.1875)","(657.3214111328125, 85.33928680419922)","(699.3700561523438, 86.01263427734375)","(741.73681640625, 86.0)","(784.0, 86.5)","(824.5900268554688, 85.69000244140625)","(867.3936157226562, 86.2021255493164)","(909.2543334960938, 86.54310607910156)","(951.5, 86.9000015258789)","(993.5, 86.9000015258789)","(1035.5731201171875, 87.34552764892578)","(1077.714599609375, 87.42337036132812)","(1120.0263671875, 87.5)","(1162.0, 88.0)","(1203.6666259765625, 88.0)","(1245.930419921875, 88.34809875488281)","(1287.868896484375, 88.32524108886719)","(1330.2569580078125, 89.1175308227539)","(1372.4571533203125, 89.4095230102539)"
201,"(151.0, 123.0)","(192.93463134765625, 123.30918884277344)","(235.41079711914062, 123.54225158691406)","(277.5, 124.0999984741211)","(319.83056640625, 124.57437896728516)","(361.82598876953125, 124.72907257080078)","(404.0, 125.0)","(446.0, 125.0)","(488.5, 125.5)","(530.6747436523438, 126.13106536865234)","(573.2894897460938, 126.71052551269531)","(615.5, 127.0)","(657.7542114257812, 127.66949462890625)","(699.7009887695312, 127.71105194091797)","(741.6698608398438, 127.8629379272461)","(784.2432250976562, 128.3783721923828)","(825.5, 128.0)","(867.4166870117188, 128.5)","(909.5, 128.44117736816406)","(951.5, 128.5)","(993.4310302734375, 128.5689697265625)","(1035.7291259765625, 129.2489013671875)","(1078.1922607421875, 129.42308044433594)","(1120.069580078125, 129.6519012451172)","(1162.3846435546875, 130.0)","(1204.3846435546875, 130.0)","(1246.3182373046875, 130.5)","(1288.5333251953125, 130.53334045410156)","(1330.7349853515625, 131.32028198242188)","(1373.1353759765625, 131.6875)"
200,"(150.73281860351562, 164.9236602783203)","(192.8157958984375, 165.1842041015625)","(235.35000610351562, 165.75)","(277.56817626953125, 166.11363220214844)","(319.8287658691406, 166.6506805419922)","(361.9130554199219, 166.69564819335938)","(404.2974548339844, 167.28903198242188)","(446.3999938964844, 167.39999389648438)","(488.5, 167.68182373046875)","(531.0, 168.26315307617188)","(573.2777709960938, 168.61111450195312)","(615.5816040039062, 168.80612182617188)","(657.6063842773438, 169.20213317871094)","(700.1517944335938, 169.5357208251953)","(742.3181762695312, 169.77272033691406)","(784.5, 170.23684692382812)","(825.5, 170.0)","(867.5, 170.10000610351562)","(909.362060546875, 170.27011108398438)","(951.7249755859375, 170.68124389648438)","(994.130126953125, 170.71917724609375)","(1036.0, 171.5)","(1078.5, 171.5)","(1120.2142333984375, 171.5)","(1162.3089599609375, 172.06179809570312)","(1204.51611328125, 172.3790283203125)","(1246.924072265625, 172.7408447265625)","(1289.26318359375, 173.0)","(1331.2894287109375, 173.2894744873047)","(1373.5474853515625, 173.85572814941406)"
199,"(151.0, 207.0)","(193.1896514892578, 207.1896514892578)","(235.27777099609375, 207.72222900390625)","(277.4607849121094, 207.9705810546875)","(319.9392395019531, 208.42523193359375)","(361.9864807128906, 208.44595336914062)","(404.4256286621094, 209.16941833496094)","(446.2974548339844, 209.28903198242188)","(488.7105407714844, 209.7105255126953)","(530.8793334960938, 209.87930297851562)","(573.0, 210.63333129882812)","(615.5042724609375, 210.86170959472656)","(657.9459228515625, 211.26351928710938)","(700.0, 211.5)","(742.3055419921875, 212.0)","(784.2974853515625, 212.28903198242188)","(826.0555419921875, 212.05555725097656)","(867.6333618164062, 212.0)","(910.0, 212.32142639160156)","(952.1923217773438, 212.42308044433594)","(994.35107421875, 212.70213317871094)","(1036.5, 213.0)","(1078.5833740234375, 213.5)","(1120.9012451171875, 213.66168212890625)","(1162.7694091796875, 214.2510223388672)","(1205.0, 214.5)","(1247.32763671875, 214.3275909423828)","(1289.62060546875, 215.0136260986328)","(1331.5333251953125, 215.53334045410156)","(1373.5999755859375, 215.60000610351562)"
198,"(151.0, 249.0)","(193.0, 249.26315307617188)","(235.45278930664062, 249.7532196044922)","(277.5446472167969, 249.82142639160156)","(319.69000244140625, 250.41000366210938)","(362.1612854003906, 250.60079956054688)","(404.5, 251.10000610351562)","(446.7533264160156, 251.3800048828125)","(489.4100036621094, 251.69000244140625)","(531.0, 252.07894897460938)","(573.2889404296875, 252.2989959716797)","(615.75, 252.75)","(657.938232421875, 253.30899047851562)","(699.9736938476562, 253.5)","(742.5, 254.0)","(784.5555419921875, 254.0)","(826.26318359375, 254.0)","(868.03125, 254.0)","(910.284423828125, 254.3807373046875)","(952.3636474609375, 254.78787231445312)","(994.625, 255.0)","(1036.5899658203125, 255.30999755859375)","(1078.625, 255.5)","(1121.331298828125, 255.8614501953125)","(1163.5, 256.0)","(1205.5689697265625, 256.5689697265625)","(1247.9027099609375, 256.6593017578125)","(1290.0, 257.0)","(1332.346435546875, 257.53509521484375)","(1374.6910400390625, 257.9382019042969)"
197,"(151.2709197998047, 290.82598876953125)","(193.41000366210938, 291.30999755859375)","(235.5, 291.72222900390625)","(277.82598876953125, 291.72906494140625)","(320.125, 292.375)","(362.1785583496094, 292.4553527832031)","(404.4212646484375, 292.9173278808594)","(447.0, 293.0)","(489.0, 293.7083435058594)","(531.2777709960938, 293.72222900390625)","(573.5999755859375, 294.3999938964844)","(615.625, 294.5)","(658.1073608398438, 295.17449951171875)","(700.4285888671875, 295.4285583496094)","(742.5822143554688, 295.8835754394531)","(784.5900268554688, 295.69000244140625)","(826.5816040039062, 296.1938781738281)","(868.6818237304688, 296.2272644042969)","(910.75, 296.5)","(953.0126342773438, 296.6299743652344)","(994.924072265625, 296.7408447265625)","(1037.0, 297.2631530761719)","(1079.5, 297.31817626953125)","(1121.7025146484375, 297.7109680175781)","(1163.7857666015625, 298.21429443359375)","(1206.075927734375, 298.2591552734375)","(1248.061767578125, 298.6910095214844)","(1290.36669921875, 299.0)","(1332.5, 299.4166564941406)","(1374.6593017578125, 299.90264892578125)"
196,"(151.28067016601562, 332.70819091796875)","(193.41712951660156, 333.0966796875)","(235.85714721679688, 333.5714416503906)","(277.83056640625, 333.5743713378906)","(320.0, 334.0)","(362.27777099609375, 334.27777099609375)","(404.5899963378906, 334.69000244140625)","(447.0, 335.0)","(488.8157958984375, 335.1842041015625)","(531.0294189453125, 335.4607849121094)","(573.4000244140625, 336.0)","(616.2330932617188, 336.4288330078125)","(658.3089599609375, 336.9382019042969)","(700.6944580078125, 337.0)","(743.0, 337.5)","(785.0, 338.0)","(827.0, 337.7368469238281)","(869.056884765625, 338.1991882324219)","(911.0, 338.2916564941406)","(953.0645141601562, 338.54840087890625)","(995.137939453125, 338.45977783203125)","(1037.375, 339.0)","(1079.7110595703125, 339.2989807128906)","(1121.8896484375, 339.55194091796875)","(1164.2591552734375, 339.924072265625)","(1206.5, 340.19232177734375)","(1248.5, 340.5)","(1290.6163330078125, 341.0581359863281)","(1333.0, 341.0)","(1374.4285888671875, 341.1428527832031)"
195,"(151.5, 374.5)","(193.30555725097656, 375.0)","(235.64285278320312, 375.3571472167969)","(277.8529357910156, 375.5)","(320.32525634765625, 375.8689270019531)","(362.5, 376.1000061035156)","(404.8157958984375, 376.8157958984375)","(446.69921875, 376.9140625)","(489.1164245605469, 377.4178161621094)","(531.5, 377.5)","(573.7430419921875, 377.8824768066406)","(616.0, 378.5)","(658.4183959960938, 378.8061218261719)","(700.8793334960938, 379.1206970214844)","(743.0973510742188, 379.3406982421875)","(785.6698608398438, 379.8629455566406)","(826.828125, 379.515625)","(869.5, 380.1666564941406)","(911.452392578125, 380.3214416503906)","(953.4310302734375, 380.4310302734375)","(995.7879028320312, 380.6363525390625)","(1037.8824462890625, 380.7430419921875)","(1080.0, 381.2631530761719)","(1122.1558837890625, 381.43548583984375)","(1164.3182373046875, 381.5)","(1206.5, 382.2368469238281)","(1248.930419921875, 382.3481140136719)","(1290.9090576171875, 382.4545593261719)","(1333.125, 383.0)","(1375.2451171875, 383.26470947265625)"
