"(151.0000, 1.5000), 9.1242","(189.5000, 3.5000), 6.5193","(235.0000, 1.5000), 9.1242","(277.5000, 1.5000), 9.6178","(319.0000, 2.0000), 9.2196","(361.5000, 1.5000), 9.6178","(403.5000, 1.5000), 9.6178","(445.5000, 2.0000), 9.7083","(487.5000, 2.5000), 9.8235","(530.5000, 2.5000), 9.8235","(572.0000, 2.5000), 10.3079","(611.0000, 5.5000), 8.1395","(657.0000, 2.5000), 10.3079","(699.0000, 3.0000), 10.4404","(745.5000, 6.0000), 8.8460","(783.5000, 3.5000), 10.1243","(825.0000, 2.8125), 10.3881","(866.8873, 2.7549), 10.2640","(909.0000, 2.8125), 10.3881","(951.0000, 3.2692), 10.5209","(993.3058, 3.5388), 10.3200","(1039.0000, 10.5000), 6.5001","(1077.4000, 4.0000), 10.4001","(1119.5000, 4.0000), 10.3079","(1161.3750, 4.0000), 10.4232","(1203.3992, 4.1613), 10.4640","(1245.4344, 4.1721), 10.4359","(1287.4500, 4.5000), 10.5573","(1329.5000, 5.0000), 10.7356","(1371.5000, 5.0000), 10.7356"
"(150.7500, 39.3500), 10.3531","(192.8825, 39.7430), 10.5775","(235.0000, 40.0000), 10.2957","(277.5000, 40.5000), 10.5120","(319.6818, 40.5000), 10.5911","(361.5000, 41.0000), 10.5476","(403.5000, 41.1250), 10.4770","(445.5000, 41.5000), 10.5120","(488.3846, 42.0000), 10.6336","(530.2592, 42.0759), 10.5593","(572.7105, 42.7105), 10.4156","(614.9706, 43.0294), 10.8087","(657.3305, 43.6780), 10.7417","(699.3253, 43.8689), 10.5199","(741.5000, 44.1923), 10.3840","(783.4839, 44.3790), 10.6146","(825.0000, 44.0000), 10.2957","(867.0000, 44.6333), 10.6177","(909.5000, 44.7632), 10.7504","(951.3541, 45.0794), 10.5695","(993.3701, 44.9874), 10.6267","(1035.5000, 45.5000), 10.5120","(1077.5000, 45.5000), 10.5120","(1120.0000, 45.5000), 10.7356","(1161.6593, 45.9027), 10.5493","(1203.6893, 46.2767), 10.4147","(1245.6200, 46.2467), 10.5157","(1287.6687, 46.1386), 10.5218","(1329.8214, 46.8214), 10.5388","(1372.0209, 47.0521), 10.7705"
"(150.7368, 81.0000), 10.5265","(193.2347, 81.3775), 10.3330","(235.3182, 81.7727), 10.3910","(277.5000, 82.5000), 10.5120","(319.8365, 82.7056), 10.3012","(361.7222, 82.7222), 10.4105","(404.0000, 83.0000), 10.2957","(445.7143, 83.2857), 10.4002","(488.0000, 83.6154), 10.6336","(530.5000, 84.1471), 10.4224","(572.8793, 84.8793), 10.4599","(615.2615, 85.3624), 10.7396","(657.4412, 85.5588), 10.6899","(699.5744, 85.8306), 10.4429","(741.5519, 85.8896), 10.4263","(783.9382, 86.3090), 10.5963","(824.8158, 85.8158), 10.3703","(867.3276, 86.3276), 10.7419","(909.5000, 86.5000), 10.5120","(951.6507, 86.8288), 10.3825","(993.5000, 87.0000), 10.4044","(1035.7111, 87.2990), 10.4109","(1077.7146, 87.4234), 10.3521","(1120.0000, 87.4444), 10.5767","(1162.0000, 88.0000), 10.2957","(1203.6666, 88.0000), 10.4617","(1246.0759, 88.2592), 10.5593","(1288.0000, 88.5000), 10.5476","(1330.2570, 89.1175), 10.5775","(1372.5000, 89.5000), 10.5120"
"(150.5556, 123.1667), 10.4565","(193.0000, 123.5000), 10.4044","(235.0144, 123.7840), 10.4783","(277.5373, 124.1493), 10.4009","(319.8306, 124.5744), 10.4429","(362.0000, 124.7308), 10.4291","(404.2951, 125.2787), 10.4035","(446.0000, 125.0000), 10.2957","(488.3055, 126.0000), 10.5639","(530.5000, 126.5000), 10.5120","(573.2895, 126.7105), 10.4156","(615.3781, 127.0122), 10.6221","(657.7583, 127.5923), 10.7077","(699.7083, 128.0000), 10.4405","(741.7408, 127.9241), 10.5593","(784.2320, 128.5920), 10.7936","(825.4457, 128.1087), 10.4265","(867.4167, 128.5000), 10.5479","(909.5000, 128.5000), 10.7006","(951.3675, 128.5301), 10.5965","(993.5161, 128.6210), 10.6146","(1035.7350, 129.3203), 10.7047","(1078.2297, 129.4460), 10.5822","(1120.2467, 129.6200), 10.5157","(1162.3846, 130.0000), 10.6336","(1204.5000, 130.1429), 10.6698","(1246.5000, 130.5000), 10.5120","(1288.5669, 130.5706), 10.6045","(1331.0618, 131.3090), 10.5963","(1373.2142, 131.7857), 10.6547"
"(151.0000, 165.0000), 10.2957","(192.9393, 165.4252), 10.3083","(235.3846, 165.8462), 10.3562","(277.7105, 166.2895), 10.4156","(319.9324, 166.6081), 10.4337","(362.1207, 166.8793), 10.4599","(404.4922, 167.2109), 10.3987","(446.4286, 167.4286), 10.5464","(488.6200, 167.7533), 10.5157","(530.8897, 168.2574), 10.5743","(573.2844, 168.6193), 10.3701","(615.8104, 168.8103), 10.5539","(657.9026, 169.3407), 10.5493","(700.0263, 169.5000), 10.5701","(742.3493, 169.8288), 10.3826","(784.3276, 170.3276), 10.7419","(825.5000, 170.0000), 10.4044","(867.7143, 170.2857), 10.2271","(909.2778, 170.5000), 10.3116","(951.7250, 170.6812), 10.4118","(994.0000, 171.0000), 10.2957","(1036.2891, 171.2975), 10.4116","(1078.5000, 171.5000), 10.5120","(1120.2894, 171.7105), 10.4157","(1162.5000, 172.0000), 10.7356","(1204.7533, 172.3800), 10.5158","(1246.8103, 172.8103), 10.5539","(1289.2570, 173.1175), 10.5775","(1331.2891, 173.2975), 10.4116","(1373.5000, 174.0000), 10.4044"
"(151.0000, 207.0000), 10.2957","(193.1897, 207.1897), 10.5539","(235.3313, 207.8615), 10.5219","(277.5822, 207.8836), 10.4054","(320.0000, 208.5000), 10.3079","(362.0000, 208.5000), 10.4044","(404.2975, 209.2890), 10.4116","(446.4655, 209.4655), 10.5579","(488.8793, 209.8793), 10.4600","(530.7981, 210.2308), 10.6347","(573.1385, 210.6687), 10.5219","(615.6277, 211.0106), 10.6277","(657.9420, 211.3007), 10.9390","(699.9127, 211.6111), 10.4457","(742.3092, 211.9346), 10.5982","(784.2990, 212.2889), 10.4108","(826.0000, 212.0000), 10.8168","(867.7500, 212.2500), 10.6361","(910.0000, 212.5000), 10.9660","(952.2297, 212.5540), 10.5822","(994.5000, 212.9737), 10.5701","(1036.5000, 213.0263), 10.5701","(1078.6899, 213.5900), 10.5141","(1120.8470, 213.7761), 10.5657","(1162.7858, 214.2143), 10.6547","(1205.0000, 214.6944), 10.5639","(1247.3872, 214.4850), 10.6204","(1289.6842, 215.2763), 10.6385","(1331.5333, 215.5333), 10.6538","(1373.6724, 215.6724), 10.7420"
"(150.9130, 249.3044), 10.5219","(193.1842, 249.1842), 10.3703","(235.5000, 250.0263), 10.5701","(277.6667, 250.0000), 10.4617","(320.0759, 250.2592), 10.5593","(362.2467, 250.6200), 10.5157","(404.5744, 251.1694), 10.4429","(447.0000, 251.4444), 10.3591","(489.4100, 251.6900), 10.5141","(531.2951, 252.2787), 10.4035","(573.5000, 252.5000), 10.5120","(615.9697, 252.9242), 10.7707","(658.0974, 253.3407), 10.5493","(699.9737, 253.5000), 10.5701","(742.5000, 254.0000), 10.4044","(784.6250, 254.1250), 10.3759","(826.0000, 254.0000), 10.7704","(868.0000, 254.0312), 10.7995","(910.2889, 254.2990), 10.4109","(952.4268, 254.6545), 10.5134","(994.6200, 254.7533), 10.5157","(1036.7213, 255.2951), 10.4035","(1078.8795, 255.4854), 10.4862","(1121.2662, 255.9416), 10.5016","(1163.5000, 256.0000), 10.5476","(1205.6818, 256.5000), 10.5911","(1247.9027, 256.6593), 10.5492","(1290.0000, 257.0000), 10.2957","(1332.4333, 257.5667), 10.6071","(1374.5000, 258.1000), 10.4624"
"(151.3022, 290.8297), 10.3037","(193.4100, 291.3100), 10.5141","(235.5000, 291.5000), 10.1243","(277.7222, 291.7222), 10.4105","(320.2890, 292.2975), 10.4116","(362.2778, 292.5000), 10.3116","(404.5519, 293.1104), 10.4263","(446.5900, 293.3100), 10.5141","(489.2895, 293.7105), 10.4157","(531.2778, 293.7222), 10.4105","(573.5000, 294.5000), 10.5120","(616.0000, 294.5000), 10.7356","(658.2927, 295.4939), 10.8696","(700.3853, 295.4590), 10.5985","(742.6992, 295.9141), 10.5193","(784.5682, 295.8864), 10.4151","(826.5816, 296.1939), 10.7557","(868.7353, 296.2451), 10.6465","(911.0000, 296.4000), 10.8242","(953.0654, 296.6908), 10.5982","(995.0000, 296.7368), 10.5266","(1037.1897, 297.1897), 10.5538","(1079.5000, 297.3182), 10.5911","(1121.5000, 298.0000), 10.5476","(1163.7368, 298.0000), 10.5266","(1206.1176, 298.2570), 10.5775","(1248.0000, 298.9737), 10.7949","(1290.5000, 299.1429), 10.6698","(1332.5000, 299.5000), 10.5120","(1374.5000, 300.0000), 10.5476"
"(151.4256, 332.8306), 10.4429","(193.4608, 333.0294), 10.3554","(235.8571, 333.5714), 10.4638","(277.9000, 333.5800), 10.4206","(320.0000, 334.0000), 10.2957","(362.2895, 334.2895), 10.4156","(404.6956, 334.9131), 10.5219","(447.0000, 335.0000), 10.2957","(488.8415, 335.3049), 10.3109","(531.1514, 335.5747), 10.3794","(573.5000, 336.0000), 10.4044","(616.1938, 336.4184), 10.7557","(658.5000, 336.7632), 10.7504","(700.5000, 337.5000), 10.5120","(743.1470, 337.5000), 10.4224","(785.0000, 338.0000), 10.2957","(827.2143, 338.2143), 10.6547","(869.0000, 338.0000), 10.2957","(911.0000, 338.2917), 10.4405","(953.1613, 338.6210), 10.2608","(995.0000, 338.7083), 10.4405","(1037.4445, 339.0000), 10.3591","(1079.8279, 339.4344), 10.4359","(1122.0000, 339.6071), 10.4921","(1164.3800, 340.2467), 10.5157","(1206.5000, 340.5000), 10.5120","(1248.5000, 340.8077), 10.3840","(1290.7368, 341.0000), 10.5266","(1333.0000, 341.0000), 10.2957","(1374.7106, 341.2895), 10.4156"
"(151.4130, 374.7435), 10.3308","(193.3889, 375.0873), 10.4457","(235.8214, 375.5446), 10.4193","(277.8557, 375.5474), 10.4499","(320.3947, 375.9737), 10.3949","(362.4957, 376.1910), 10.3874","(405.0000, 377.0000), 10.2957","(447.0000, 376.7368), 10.5265","(489.5000, 377.5000), 10.5120","(531.4590, 377.6147), 10.5985","(573.8104, 377.8103), 10.5539","(616.1923, 378.5000), 10.8264","(658.5000, 379.0000), 10.7356","(701.1237, 379.2419), 10.5673","(743.3182, 379.5000), 10.5911","(785.6071, 380.0000), 10.4922","(827.0000, 379.6250), 10.4232","(869.5000, 380.1667), 10.8142","(911.5920, 380.2320), 10.7936","(953.9304, 380.3481), 10.5687","(995.7879, 380.6364), 10.5168","(1037.7694, 380.7490), 10.6275","(1080.0000, 381.2632), 10.5265","(1122.3750, 381.5000), 10.6251","(1164.3101, 381.5900), 10.5141","(1206.6597, 382.2452), 10.6769","(1248.9878, 382.3781), 10.6221","(1290.9445, 382.5000), 10.5002","(1332.7354, 383.2451), 10.6464","(1375.2273, 383.3182), 10.6843"
