"(145.7179, 1498.4221), 10.3496","(188.0000, 1498.0000), 10.2957","(230.1629, 1497.7023), 10.2992","(272.0000, 1497.0000), 10.2957","(313.7105, 1496.5000), 10.3221","(356.0000, 1496.5000), 10.3079","(398.2143, 1496.2142), 10.2166","(440.0000, 1495.5000), 10.3079","(481.7791, 1495.4070), 10.3107","(523.5000, 1495.0000), 10.3079","(565.6429, 1494.3572), 10.3220","(607.4039, 1493.8846), 10.5969","(649.0000, 1493.2727), 10.1661","(691.0000, 1493.2632), 10.5266","(733.0000, 1492.7693), 10.1857","(774.8750, 1492.3750), 10.4359","(816.5000, 1491.5000), 10.1243","(858.5000, 1491.0000), 10.5476","(900.8485, 1491.5378), 10.2149","(943.0000, 1491.0000), 10.2957","(985.0000, 1491.2727), 10.1661","(1027.0000, 1491.0000), 10.2957","(1069.0000, 1490.5000), 10.3079","(1110.8000, 1490.0000), 10.2001","(1152.5378, 1489.8485), 10.2150","(1194.0000, 1489.0000), 10.2957","(1236.5000, 1489.0000), 10.3079","(1278.2570, 1488.8757), 10.1341","(1320.5392, 1488.9706), 10.3554","(1362.5378, 1488.8485), 10.2150"
"(146.0354, 1540.2389), 10.2131","(188.1250, 1539.7084), 10.5484","(229.8214, 1539.1786), 10.5388","(272.0000, 1538.7368), 10.5266","(314.1175, 1538.2570), 10.5775","(356.0000, 1538.2632), 10.5266","(398.2774, 1537.7300), 10.4137","(439.5526, 1537.2632), 10.3648","(481.7010, 1536.7111), 10.4108","(523.4344, 1536.1721), 10.4359","(565.3100, 1535.5900), 10.5141","(607.4000, 1535.4000), 10.5604","(649.2672, 1534.9237), 10.4941","(691.0000, 1534.5000), 10.5476","(733.0000, 1534.0000), 10.2957","(775.0000, 1534.0000), 10.2957","(816.6910, 1533.0618), 10.5962","(858.5000, 1533.0000), 10.5476","(901.0000, 1533.0000), 10.7704","(943.2273, 1532.6818), 10.3910","(985.0000, 1532.5000), 10.3079","(1027.0000, 1532.5000), 10.3079","(1069.1136, 1532.4318), 10.4151","(1110.5000, 1531.5000), 10.5120","(1152.8750, 1531.3750), 10.3759","(1194.3846, 1530.8462), 10.3562","(1236.6193, 1530.7156), 10.3702","(1278.5000, 1530.5000), 10.5120","(1320.4517, 1530.1936), 10.4288","(1362.5000, 1530.0000), 10.5476"
"(146.0000, 1582.0000), 10.2957","(187.5000, 1581.0000), 10.3079","(230.0496, 1580.8264), 10.1689","(272.4131, 1580.7435), 10.3308","(314.5000, 1580.5000), 10.5120","(356.4281, 1580.1475), 10.4319","(398.5000, 1578.5000), 10.1243","(440.6429, 1579.3572), 10.3220","(482.5869, 1578.7435), 10.3308","(524.5000, 1578.7222), 10.3116","(566.0000, 1578.0000), 10.2957","(608.0000, 1577.2632), 10.5266","(649.7273, 1577.0000), 10.1661","(691.5690, 1576.4310), 10.6039","(733.4445, 1576.0000), 10.3591","(775.4518, 1575.7249), 10.2882","(817.2358, 1575.2548), 10.6262","(859.0126, 1574.6300), 10.6267","(901.0000, 1574.6786), 10.1435","(943.0000, 1574.5000), 10.3079","(985.2647, 1574.2646), 10.1992","(1027.3750, 1573.8750), 10.3759","(1069.0000, 1573.6786), 10.1435","(1111.0000, 1573.5667), 10.3500","(1152.7305, 1572.8318), 10.3167","(1194.7522, 1572.5541), 10.3084","(1236.7791, 1572.4070), 10.3107","(1278.8462, 1572.3846), 10.3562","(1320.7693, 1572.0000), 10.1856","(1362.7106, 1571.7106), 10.4156"
"(146.0000, 1623.2307), 10.1857","(188.2778, 1622.7222), 10.4105","(230.5000, 1622.5000), 10.5120","(272.2647, 1622.2646), 10.1992","(314.8264, 1622.0496), 10.1689","(356.8701, 1621.5265), 10.1905","(398.9310, 1621.4828), 10.3507","(441.0000, 1621.0000), 10.2957","(482.8485, 1620.5378), 10.2149","(524.4730, 1619.8513), 10.3417","(566.4070, 1619.7791), 10.3106","(608.2632, 1619.0000), 10.5265","(649.8301, 1618.6942), 10.3017","(692.1154, 1618.4038), 10.5969","(733.5876, 1617.8427), 10.2424","(775.3919, 1617.0676), 10.4337","(817.3085, 1616.8829), 10.5499","(859.0000, 1616.3334), 10.4617","(901.2709, 1616.2489), 10.6455","(943.0690, 1615.7587), 10.1198","(985.0000, 1615.7693), 10.1857","(1027.0000, 1615.0000), 10.2957","(1069.0000, 1615.0000), 10.2957","(1111.0496, 1614.8264), 10.1689","(1152.9672, 1614.5082), 10.2876","(1195.0000, 1614.0000), 10.2957","(1236.5000, 1613.5000), 10.1243","(1278.4091, 1613.2273), 10.3064","(1320.7660, 1613.4255), 10.3329","(1362.8068, 1613.3864), 10.3883"
"(146.3085, 1664.7340), 10.3860","(188.5379, 1664.8485), 10.2149","(230.0000, 1664.0000), 10.2957","(272.5000, 1664.5000), 10.1243","(315.0000, 1664.0000), 10.2957","(356.8264, 1663.0496), 10.1689","(399.0000, 1663.0000), 10.2957","(441.1942, 1662.5496), 10.4286","(483.0000, 1662.0000), 10.2957","(524.6942, 1661.8301), 10.3017","(567.0000, 1661.5000), 10.3079","(609.0000, 1661.3334), 10.4617","(650.5000, 1660.5000), 10.1243","(692.3800, 1660.2467), 10.5158","(734.3475, 1659.7373), 10.3509","(775.8108, 1659.1082), 10.1100","(817.1310, 1658.3252), 10.5199","(858.7353, 1657.7354), 10.1993","(900.8415, 1657.3049), 10.3109","(943.0000, 1657.0000), 10.2957","(985.0000, 1657.0000), 10.2957","(1027.0000, 1657.0000), 10.2957","(1069.1161, 1656.5089), 10.3452","(1111.0000, 1656.0000), 10.2957","(1153.0000, 1656.0000), 10.2957","(1194.5000, 1655.5000), 10.5120","(1236.6899, 1655.4100), 10.5142","(1278.6154, 1655.1538), 10.3562","(1321.0000, 1655.2632), 10.5266","(1362.9600, 1655.1400), 10.1933"
"(146.2333, 1706.5000), 10.2716","(188.4516, 1706.1936), 10.4288","(230.4048, 1705.8651), 10.4058","(272.0000, 1705.0000), 10.2957","(314.2314, 1704.6791), 10.2364","(355.4255, 1703.7660), 10.3330","(398.0000, 1704.0000), 10.7704","(440.3571, 1703.6428), 10.3219","(483.0000, 1704.0000), 10.2957","(524.5392, 1702.9706), 10.3554","(567.0000, 1703.0000), 10.2957","(609.0000, 1703.0000), 10.7704","(650.7308, 1702.3154), 10.4051","(692.6908, 1702.0654), 10.5982","(734.0000, 1700.0000), 9.8490","(776.4318, 1701.1136), 10.4151","(817.3788, 1699.6818), 10.3252","(859.1176, 1699.2570), 10.5775","(901.0870, 1699.3043), 10.5219","(943.0000, 1699.0000), 10.2957","(985.1492, 1698.4626), 10.4009","(1027.0000, 1698.2307), 10.1856","(1069.0000, 1698.0000), 10.2957","(1111.1301, 1697.7192), 10.5475","(1153.0000, 1697.2307), 10.1857","(1195.0000, 1697.0000), 10.2957","(1237.0000, 1697.0000), 10.2957","(1279.3750, 1696.8750), 10.3759","(1321.0000, 1697.0000), 10.2957","(1363.1613, 1696.6210), 10.2609"
"(146.0000, 1748.0000), 10.2957","(188.5944, 1747.7919), 10.2079","(230.7326, 1747.3140), 10.2224","(272.5328, 1746.7950), 10.2605","(314.2500, 1746.2500), 10.2775","(356.0000, 1745.8334), 10.2158","(398.2854, 1745.5767), 10.3522","(440.5000, 1745.1000), 10.3471","(482.4131, 1744.7435), 10.3308","(525.0000, 1745.0000), 10.2957","(566.7222, 1744.5000), 10.3116","(608.6071, 1744.0000), 10.4922","(650.7692, 1744.0000), 10.1857","(692.7430, 1743.1176), 10.5775","(734.2540, 1742.9274), 10.1106","(776.4130, 1742.6740), 10.3176","(817.8301, 1741.6942), 10.3017","(859.3333, 1741.0000), 10.4617","(901.0000, 1740.2727), 10.1661","(942.9504, 1740.1736), 10.1689","(985.0000, 1740.0000), 10.2957","(1026.7111, 1739.2990), 10.4108","(1069.0000, 1739.0000), 10.2957","(1110.8264, 1739.0496), 10.1689","(1153.2632, 1739.0000), 10.5265","(1195.1936, 1738.5483), 10.4287","(1237.0000, 1738.5000), 10.4044","(1279.1880, 1738.4962), 10.3857","(1321.2109, 1738.4922), 10.3987","(1363.4922, 1738.2109), 10.3987"
"(145.8502, 1789.4536), 10.3957","(188.4560, 1788.8956), 10.3085","(230.7543, 1788.8931), 10.1352","(272.6739, 1788.4131), 10.3176","(314.5000, 1787.9000), 10.3471","(356.5000, 1787.5000), 10.1243","(398.3182, 1786.7727), 10.3910","(440.2857, 1786.7142), 10.2271","(482.0000, 1786.0000), 10.2957","(524.3182, 1785.7727), 10.3910","(566.3571, 1785.6428), 10.3220","(608.5690, 1785.4310), 10.6039","(650.4730, 1784.8513), 10.3417","(692.5900, 1784.6899), 10.5141","(734.7222, 1784.5000), 10.3116","(776.1242, 1783.9076), 10.1548","(817.6255, 1783.1486), 10.2515","(859.1923, 1782.5000), 10.3840","(901.2306, 1782.2510), 10.6274","(943.1935, 1781.5483), 10.4288","(985.0000, 1781.2727), 10.1661","(1027.0000, 1781.0000), 10.2957","(1069.0000, 1781.0000), 10.2957","(1111.1000, 1780.5000), 10.4624","(1153.0690, 1780.4828), 10.3507","(1195.2500, 1780.2500), 10.6361","(1237.0000, 1780.0000), 10.2957","(1279.1786, 1779.8214), 10.5388","(1321.4070, 1779.7791), 10.3106","(1363.2821, 1779.5779), 10.3497"
"(146.5000, 1831.5000), 10.5120","(188.2895, 1830.7106), 10.4157","(230.6429, 1830.3572), 10.3220","(273.0000, 1830.0000), 10.2957","(314.8301, 1829.6942), 10.3017","(356.2692, 1829.1923), 10.3383","(398.2857, 1828.7142), 10.2271","(440.2778, 1828.2778), 10.4106","(482.2842, 1827.6287), 10.3754","(524.0000, 1827.0000), 10.2957","(566.4318, 1827.1136), 10.4151","(608.6519, 1826.9304), 10.5687","(650.5000, 1826.5000), 10.5120","(692.7110, 1826.2975), 10.4116","(734.5000, 1826.0000), 10.3079","(776.7105, 1825.7106), 10.4157","(818.0000, 1825.0000), 10.2957","(859.0000, 1824.0000), 10.2957","(901.2890, 1823.7025), 10.4116","(943.3571, 1823.3572), 10.3219","(985.4100, 1823.3101), 10.5141","(1027.1028, 1822.5959), 10.2602","(1069.0000, 1822.5000), 10.3079","(1111.2646, 1822.2646), 10.1993","(1153.0000, 1822.0000), 10.2957","(1195.0000, 1821.5000), 10.3079","(1237.2000, 1821.4000), 10.3249","(1279.2778, 1821.5000), 10.3116","(1321.5000, 1821.2894), 10.3221","(1363.5043, 1821.1910), 10.3874"
"(146.0000, 1872.5000), 10.3079","(188.5000, 1872.5000), 10.5120","(230.1170, 1871.6915), 10.5500","(272.5000, 1871.5000), 10.5120","(314.1071, 1870.8928), 10.1501","(356.0000, 1870.5000), 10.5476","(398.0000, 1870.0000), 10.2957","(439.9286, 1869.3572), 10.0637","(482.0000, 1869.0000), 10.2957","(523.7093, 1868.4767), 10.3131","(565.8333, 1868.1666), 10.0693","(608.0000, 1868.0000), 10.6302","(649.9026, 1867.8247), 10.2977","(691.8929, 1867.1072), 10.1501","(734.1896, 1866.8103), 10.5539","(776.3008, 1866.9141), 10.5193","(817.2093, 1865.8954), 10.2099","(858.8104, 1865.1897), 10.5539","(900.9026, 1864.8247), 10.2977","(942.5000, 1864.0000), 10.4044","(984.5392, 1863.9706), 10.3554","(1026.6364, 1863.7878), 10.5168","(1068.5439, 1863.1044), 10.3085","(1111.0000, 1863.5000), 10.5476","(1153.0000, 1863.0000), 10.2957","(1195.0000, 1863.0000), 10.2957","(1237.0000, 1862.5000), 10.5476","(1279.2778, 1862.6111), 10.3712","(1321.2542, 1862.5819), 10.3754","(1363.5000, 1862.5000), 10.1243"
